Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
420,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4288.8,4291.4,2025-11-24 10:16:00 AM,2025-11-24 12:07:00 PM,GL_B,Stop loss,$23.60,$8131.00,$2.40,$0.00,$0.00,$0.00,$0.00,$58.00,$79.00,$55.40,112,
421,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4308.7,4310.8,2025-11-24 1:41:00 PM,2025-11-24 1:43:00 PM,GL_B,TP1,$18.60,$8149.60,$2.40,$0.00,$0.00,$0.00,$0.00,$20.00,$149.00,$130.40,3,
422,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4308.7,4310.8,2025-11-24 1:41:00 PM,2025-11-24 1:42:03 PM,GL_B,StallExit,$18.60,$8168.20,$2.40,$0.00,$0.00,$0.00,$0.00,$20.00,$149.00,$130.40,3,
423,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4308.7,4311.4,2025-11-24 1:41:00 PM,2025-11-24 1:42:21 PM,GL_B,StallExit,$24.60,$8192.80,$2.40,$0.00,$0.00,$0.00,$0.00,$20.00,$149.00,$124.40,3,
424,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4308.7,4311.3,2025-11-24 1:41:00 PM,2025-11-24 1:45:33 PM,GL_B,StallExit,$23.60,$8216.40,$2.40,$0.00,$0.00,$0.00,$0.00,$20.00,$149.00,$125.40,6,
425,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4308.7,4313.0,2025-11-24 1:41:00 PM,2025-11-24 2:15:00 PM,GL_B,Stop loss,$40.60,$8257.00,$2.40,$0.00,$0.00,$0.00,$0.00,$20.00,$149.00,$108.40,35,
426,MGC 12-26,Backtest,GoldTrendScalperV40,Long,5,4356.1,4351.6,2025-11-26 10:32:00 AM,2025-11-26 10:33:00 AM,GL_B,Stop loss,-$237.00,$8020.00,$12.00,$0.00,$0.00,$0.00,$0.00,$225.00,$75.00,$312.00,2,
427,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4402.6,4399.2,2025-12-02 10:08:00 AM,2025-12-02 10:12:00 AM,GS,TP1,$31.60,$8051.60,$2.40,$0.00,$0.00,$0.00,$0.00,$30.00,$89.00,$57.40,5,
428,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4402.6,4398.7,2025-12-02 10:08:00 AM,2025-12-02 10:11:24 AM,GS,StallExit,$36.60,$8088.20,$2.40,$0.00,$0.00,$0.00,$0.00,$30.00,$89.00,$52.40,5,
429,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4402.6,4399.2,2025-12-02 10:08:00 AM,2025-12-02 10:11:36 AM,GS,StallExit,$31.60,$8119.80,$2.40,$0.00,$0.00,$0.00,$0.00,$30.00,$89.00,$57.40,5,
430,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4402.6,4399.9,2025-12-02 10:08:00 AM,2025-12-02 10:11:48 AM,GS,StallExit,$24.60,$8144.40,$2.40,$0.00,$0.00,$0.00,$0.00,$30.00,$89.00,$64.40,5,
431,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4402.6,4395.4,2025-12-02 10:08:00 AM,2025-12-02 10:18:00 AM,GS,TP2,$69.60,$8214.00,$2.40,$0.00,$0.00,$0.00,$0.00,$30.00,$89.00,$19.40,11,
432,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4391.4,4386.4,2025-12-02 10:20:00 AM,2025-12-02 10:22:00 AM,GS,TP1,$47.60,$8261.60,$2.40,$0.00,$0.00,$0.00,$0.00,$12.00,$83.00,$35.40,3,
433,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4391.4,4386.4,2025-12-02 10:20:00 AM,2025-12-02 10:22:00 AM,GS,TP2,$47.60,$8309.20,$2.40,$0.00,$0.00,$0.00,$0.00,$12.00,$83.00,$35.40,3,
434,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4391.4,4386.4,2025-12-02 10:20:00 AM,2025-12-02 10:21:03 AM,GS,StallExit,$47.60,$8356.80,$2.40,$0.00,$0.00,$0.00,$0.00,$12.00,$83.00,$35.40,3,
435,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4391.4,4386.1,2025-12-02 10:20:00 AM,2025-12-02 10:21:15 AM,GS,StallExit,$50.60,$8407.40,$2.40,$0.00,$0.00,$0.00,$0.00,$12.00,$83.00,$32.40,3,
436,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4391.4,4384.9,2025-12-02 10:20:00 AM,2025-12-02 10:26:00 AM,GS,TP3,$62.60,$8470.00,$2.40,$0.00,$0.00,$0.00,$0.00,$12.00,$83.00,$20.40,7,
437,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4384.6,4389.5,2025-12-04 10:06:00 AM,2025-12-04 10:10:00 AM,GS,Stop loss,-$257.00,$8213.00,$12.00,$0.00,$0.00,$0.00,$0.00,$245.00,$155.00,$412.00,5,
438,MGC 12-26,Backtest,GoldTrendScalperV40,Long,5,4449.8,4445.0,2025-12-05 10:41:00 AM,2025-12-05 10:46:00 AM,GL_B,Stop loss,-$252.00,$7961.00,$12.00,$0.00,$0.00,$0.00,$0.00,$240.00,$40.00,$292.00,6,
439,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4398.4,4401.7,2025-12-05 12:38:00 PM,2025-12-05 12:38:00 PM,GS,Stop loss,-$177.00,$7784.00,$12.00,$0.00,$0.00,$0.00,$0.00,$165.00,$0.00,$177.00,1,
440,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4373.6,4371.4,2025-12-08 10:07:00 AM,2025-12-08 10:08:00 AM,GS,TP1,$19.60,$7803.60,$2.40,$0.00,$0.00,$0.00,$0.00,$57.00,$85.00,$65.40,2,
441,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4373.6,4370.0,2025-12-08 10:07:00 AM,2025-12-08 10:07:09 AM,GS,StallExit,$33.60,$7837.20,$2.40,$0.00,$0.00,$0.00,$0.00,$57.00,$85.00,$51.40,2,
442,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4373.6,4369.9,2025-12-08 10:07:00 AM,2025-12-08 10:07:21 AM,GS,StallExit,$34.60,$7871.80,$2.40,$0.00,$0.00,$0.00,$0.00,$57.00,$85.00,$50.40,2,
443,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4373.6,4371.3,2025-12-08 10:07:00 AM,2025-12-08 10:07:33 AM,GS,StallExit,$20.60,$7892.40,$2.40,$0.00,$0.00,$0.00,$0.00,$57.00,$85.00,$64.40,2,
444,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4373.6,4379.3,2025-12-08 10:07:00 AM,2025-12-08 10:21:00 AM,GS,Stop loss,-$59.40,$7833.00,$2.40,$0.00,$0.00,$0.00,$0.00,$57.00,$85.00,$144.40,15,
445,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4490.4,4485.0,2025-12-16 11:38:00 AM,2025-12-16 11:42:00 AM,GS,TP1,$51.60,$7884.60,$2.40,$0.00,$0.00,$0.00,$0.00,$4.00,$64.00,$12.40,5,
446,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4490.4,4485.0,2025-12-16 11:38:00 AM,2025-12-16 11:42:00 AM,GS,TP2,$51.60,$7936.20,$2.40,$0.00,$0.00,$0.00,$0.00,$4.00,$64.00,$12.40,5,
447,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4490.4,4485.0,2025-12-16 11:38:00 AM,2025-12-16 11:41:03 AM,GS,StallExit,$51.60,$7987.80,$2.40,$0.00,$0.00,$0.00,$0.00,$4.00,$64.00,$12.40,5,
448,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4490.4,4485.4,2025-12-16 11:38:00 AM,2025-12-16 11:41:15 AM,GS,StallExit,$47.60,$8035.40,$2.40,$0.00,$0.00,$0.00,$0.00,$4.00,$64.00,$16.40,5,
449,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4490.4,4490.4,2025-12-16 11:38:00 AM,2025-12-16 11:47:00 AM,GS,Stop loss,-$2.40,$8033.00,$2.40,$0.00,$0.00,$0.00,$0.00,$4.00,$64.00,$66.40,10,
450,MGC 12-26,Backtest,GoldTrendScalperV40,Long,5,4629.5,4625.5,2025-12-22 10:57:00 AM,2025-12-22 11:01:00 AM,GL_B,Stop loss,-$212.00,$7821.00,$12.00,$0.00,$0.00,$0.00,$0.00,$200.00,$140.00,$352.00,5,
451,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4643.2,4639.4,2025-12-24 10:42:00 AM,2025-12-24 10:45:00 AM,GS,TP1,$35.60,$7856.60,$2.40,$0.00,$0.00,$0.00,$0.00,$23.00,$81.00,$45.40,4,
452,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4643.2,4639.4,2025-12-24 10:42:00 AM,2025-12-24 10:45:00 AM,GS,TP2,$35.60,$7892.20,$2.40,$0.00,$0.00,$0.00,$0.00,$23.00,$81.00,$45.40,4,
453,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4643.2,4639.4,2025-12-24 10:42:00 AM,2025-12-24 10:44:03 AM,GS,StallExit,$35.60,$7927.80,$2.40,$0.00,$0.00,$0.00,$0.00,$23.00,$81.00,$45.40,4,
454,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4643.2,4638.1,2025-12-24 10:42:00 AM,2025-12-24 10:46:54 AM,GS,StallExit,$48.60,$7976.40,$2.40,$0.00,$0.00,$0.00,$0.00,$23.00,$81.00,$32.40,6,
455,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4643.2,4643.2,2025-12-24 10:42:00 AM,2025-12-24 10:50:00 AM,GS,Stop loss,-$2.40,$7974.00,$2.40,$0.00,$0.00,$0.00,$0.00,$23.00,$81.00,$83.40,9,
456,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4732.9,4739.6,2025-12-26 10:34:00 AM,2025-12-26 10:39:00 AM,GL_B,TP1,$64.60,$8038.60,$2.40,$0.00,$0.00,$0.00,$0.00,$12.00,$77.00,$12.40,6,
457,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4732.9,4739.6,2025-12-26 10:34:00 AM,2025-12-26 10:39:00 AM,GL_B,TP2,$64.60,$8103.20,$2.40,$0.00,$0.00,$0.00,$0.00,$12.00,$77.00,$12.40,6,
458,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4732.9,4739.7,2025-12-26 10:34:00 AM,2025-12-26 10:38:12 AM,GL_B,StallExit,$65.60,$8168.80,$2.40,$0.00,$0.00,$0.00,$0.00,$12.00,$77.00,$11.40,6,
459,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4732.9,4740.0,2025-12-26 10:34:00 AM,2025-12-26 10:38:24 AM,GL_B,StallExit,$68.60,$8237.40,$2.40,$0.00,$0.00,$0.00,$0.00,$12.00,$77.00,$8.40,6,
460,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4732.9,4738.2,2025-12-26 10:34:00 AM,2025-12-26 10:40:00 AM,GL_B,TP3,$50.60,$8288.00,$2.40,$0.00,$0.00,$0.00,$0.00,$12.00,$77.00,$26.40,7,
461,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4515.1,4508.8,2025-12-29 10:08:00 AM,2025-12-29 10:09:00 AM,GS,FullTake,$303.00,$8591.00,$12.00,$0.00,$0.00,$0.00,$0.00,$75.00,$415.00,$112.00,2,
462,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4503.4,4508.1,2025-12-31 10:23:00 AM,2025-12-31 10:25:00 AM,GS,Stop loss,-$247.00,$8344.00,$12.00,$0.00,$0.00,$0.00,$0.00,$235.00,$90.00,$337.00,3,
463,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4756.3,4752.1,2026-01-13 1:21:00 PM,2026-01-13 1:23:00 PM,GS,TP1,$39.60,$8383.60,$2.40,$0.00,$0.00,$0.00,$0.00,$39.00,$59.00,$19.40,3,
464,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4756.3,4752.1,2026-01-13 1:21:00 PM,2026-01-13 1:23:00 PM,GS,TP2,$39.60,$8423.20,$2.40,$0.00,$0.00,$0.00,$0.00,$39.00,$59.00,$19.40,3,
465,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4756.3,4752.1,2026-01-13 1:21:00 PM,2026-01-13 1:22:03 PM,GS,StallExit,$39.60,$8462.80,$2.40,$0.00,$0.00,$0.00,$0.00,$39.00,$59.00,$19.40,3,
466,MGC 12-26,Backtest,GoldTrendScalperV40,Short,2,4756.3,4760.2,2026-01-13 1:21:00 PM,2026-01-13 1:26:00 PM,GS,Stop loss,-$82.80,$8380.00,$4.80,$0.00,$0.00,$0.00,$0.00,$78.00,$118.00,$200.80,6,
467,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4793.8,4795.9,2026-01-14 1:18:00 PM,2026-01-14 1:27:00 PM,GL_B,TP1,$18.60,$8398.60,$2.40,$0.00,$0.00,$0.00,$0.00,$14.00,$153.00,$134.40,10,
468,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4793.8,4795.9,2026-01-14 1:18:00 PM,2026-01-14 1:26:03 PM,GL_B,StallExit,$18.60,$8417.20,$2.40,$0.00,$0.00,$0.00,$0.00,$14.00,$153.00,$134.40,10,
469,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4793.8,4796.2,2026-01-14 1:18:00 PM,2026-01-14 1:26:48 PM,GL_B,StallExit,$21.60,$8438.80,$2.40,$0.00,$0.00,$0.00,$0.00,$14.00,$153.00,$131.40,10,
470,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4793.8,4796.4,2026-01-14 1:18:00 PM,2026-01-14 1:27:00 PM,GL_B,StallExit,$23.60,$8462.40,$2.40,$0.00,$0.00,$0.00,$0.00,$14.00,$153.00,$129.40,10,
471,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4793.8,4808.8,2026-01-14 1:18:00 PM,2026-01-14 2:03:00 PM,GL_B,TP2,$147.60,$8610.00,$2.40,$0.00,$0.00,$0.00,$0.00,$14.00,$153.00,$5.40,46,
472,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4767.8,4771.2,2026-01-15 11:56:00 AM,2026-01-15 11:57:00 AM,GS,Stop loss,-$182.00,$8428.00,$12.00,$0.00,$0.00,$0.00,$0.00,$170.00,$20.00,$202.00,2,
473,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4752.1,4748.6,2026-01-16 10:27:00 AM,2026-01-16 10:28:00 AM,GS,TP1,$32.60,$8460.60,$2.40,$0.00,$0.00,$0.00,$0.00,$4.00,$89.00,$56.40,2,
474,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4752.1,4748.6,2026-01-16 10:27:00 AM,2026-01-16 10:27:03 AM,GS,StallExit,$32.60,$8493.20,$2.40,$0.00,$0.00,$0.00,$0.00,$4.00,$89.00,$56.40,2,
475,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4752.1,4745.7,2026-01-16 10:27:00 AM,2026-01-16 10:27:15 AM,GS,StallExit,$61.60,$8554.80,$2.40,$0.00,$0.00,$0.00,$0.00,$4.00,$89.00,$27.40,2,
476,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4752.1,4746.2,2026-01-16 10:27:00 AM,2026-01-16 10:27:36 AM,GS,StallExit,$56.60,$8611.40,$2.40,$0.00,$0.00,$0.00,$0.00,$4.00,$89.00,$32.40,2,
477,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4752.1,4748.1,2026-01-16 10:27:00 AM,2026-01-16 10:29:00 AM,GS,TP2,$37.60,$8649.00,$2.40,$0.00,$0.00,$0.00,$0.00,$4.00,$89.00,$51.40,3,
478,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4736.3,4729.2,2026-01-16 10:30:00 AM,2026-01-16 10:31:00 AM,GS,FullTake,$343.00,$8992.00,$12.00,$0.00,$0.00,$0.00,$0.00,$55.00,$400.00,$57.00,2,
479,MGC 12-26,Backtest,GoldTrendScalperV40,Long,5,4920.3,4915.9,2026-01-20 11:58:00 AM,2026-01-20 12:01:00 PM,GL_B,Stop loss,-$232.00,$8760.00,$12.00,$0.00,$0.00,$0.00,$0.00,$220.00,$130.00,$362.00,4,
480,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5023.1,5027.1,2026-01-22 10:33:00 AM,2026-01-22 10:36:00 AM,GL_B,TP1,$37.60,$8797.60,$2.40,$0.00,$0.00,$0.00,$0.00,$24.00,$90.00,$52.40,4,
481,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5023.1,5027.1,2026-01-22 10:33:00 AM,2026-01-22 10:35:03 AM,GL_B,StallExit,$37.60,$8835.20,$2.40,$0.00,$0.00,$0.00,$0.00,$24.00,$90.00,$52.40,4,
482,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5023.1,5027.0,2026-01-22 10:33:00 AM,2026-01-22 10:35:15 AM,GL_B,StallExit,$36.60,$8871.80,$2.40,$0.00,$0.00,$0.00,$0.00,$24.00,$90.00,$53.40,4,
483,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5023.1,5027.0,2026-01-22 10:33:00 AM,2026-01-22 10:35:27 AM,GL_B,StallExit,$36.60,$8908.40,$2.40,$0.00,$0.00,$0.00,$0.00,$24.00,$90.00,$53.40,4,
484,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5023.1,5032.1,2026-01-22 10:33:00 AM,2026-01-22 10:53:00 AM,GL_B,TP2,$87.60,$8996.00,$2.40,$0.00,$0.00,$0.00,$0.00,$24.00,$90.00,$2.40,21,
485,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5077.1,5079.3,2026-01-22 1:10:00 PM,2026-01-22 1:39:00 PM,GL_B,TP1,$19.60,$9015.60,$2.40,$0.00,$0.00,$0.00,$0.00,$62.00,$114.00,$94.40,30,
486,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5077.1,5079.3,2026-01-22 1:10:00 PM,2026-01-22 1:38:03 PM,GL_B,StallExit,$19.60,$9035.20,$2.40,$0.00,$0.00,$0.00,$0.00,$62.00,$114.00,$94.40,30,
487,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5077.1,5079.1,2026-01-22 1:10:00 PM,2026-01-22 1:38:15 PM,GL_B,StallExit,$17.60,$9052.80,$2.40,$0.00,$0.00,$0.00,$0.00,$62.00,$114.00,$96.40,30,
488,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5077.1,5079.3,2026-01-22 1:10:00 PM,2026-01-22 1:38:30 PM,GL_B,StallExit,$19.60,$9072.40,$2.40,$0.00,$0.00,$0.00,$0.00,$62.00,$114.00,$94.40,30,
489,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5077.1,5082.1,2026-01-22 1:10:00 PM,2026-01-22 2:25:00 PM,GL_B,Stop loss,$47.60,$9120.00,$2.40,$0.00,$0.00,$0.00,$0.00,$62.00,$114.00,$66.40,76,
490,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,5155.6,5142.1,2026-01-30 10:03:00 AM,2026-01-30 10:04:00 AM,GS,FullTake,$663.00,$9783.00,$12.00,$0.00,$0.00,$0.00,$0.00,$345.00,$1185.00,$522.00,2,
491,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5112.6,5114.9,2026-02-03 11:18:00 AM,2026-02-03 11:19:00 AM,GL_B,TP1,$20.60,$9803.60,$2.40,$0.00,$0.00,$0.00,$0.00,$78.00,$171.00,$150.40,2,
492,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5112.6,5114.9,2026-02-03 11:18:00 AM,2026-02-03 11:18:03 AM,GL_B,StallExit,$20.60,$9824.20,$2.40,$0.00,$0.00,$0.00,$0.00,$78.00,$171.00,$150.40,2,
493,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5112.6,5114.4,2026-02-03 11:18:00 AM,2026-02-03 11:19:48 AM,GL_B,StallExit,$15.60,$9839.80,$2.40,$0.00,$0.00,$0.00,$0.00,$78.00,$171.00,$155.40,3,
494,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5112.6,5115.0,2026-02-03 11:18:00 AM,2026-02-03 11:20:00 AM,GL_B,StallExit,$21.60,$9861.40,$2.40,$0.00,$0.00,$0.00,$0.00,$78.00,$171.00,$149.40,3,
495,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5112.6,5127.0,2026-02-03 11:18:00 AM,2026-02-03 11:29:00 AM,GL_B,TP2,$141.60,$10003.00,$2.40,$0.00,$0.00,$0.00,$0.00,$78.00,$171.00,$29.40,12,
496,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,5025.7,5019.5,2026-02-04 1:02:00 PM,2026-02-04 1:03:00 PM,GS,FullTake,$298.00,$10301.00,$12.00,$0.00,$0.00,$0.00,$0.00,$30.00,$350.00,$52.00,2,
497,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,5158.4,5150.0,2026-02-10 10:39:00 AM,2026-02-10 10:40:00 AM,GS,FullTake,$408.00,$10709.00,$12.00,$0.00,$0.00,$0.00,$0.00,$235.00,$590.00,$182.00,2,
498,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,5197.9,5180.5,2026-02-12 11:11:00 AM,2026-02-12 11:12:00 AM,GS,FullTake,$858.00,$11567.00,$12.00,$0.00,$0.00,$0.00,$0.00,$5.00,$1040.00,$182.00,2,
499,MGC 12-26,Backtest,GoldTrendScalperV40,Long,5,5171.4,5180.5,2026-02-13 11:29:00 AM,2026-02-13 11:30:00 AM,GL_B,FullTake,$443.00,$12010.00,$12.00,$0.00,$0.00,$0.00,$0.00,$30.00,$515.00,$72.00,2,
500,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5123.0,5120.8,2026-02-16 10:04:00 AM,2026-02-16 10:05:00 AM,GS,TP1,$19.60,$12029.60,$2.40,$0.00,$0.00,$0.00,$0.00,$2.00,$92.00,$72.40,2,
501,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5123.0,5120.8,2026-02-16 10:04:00 AM,2026-02-16 10:04:03 AM,GS,StallExit,$19.60,$12049.20,$2.40,$0.00,$0.00,$0.00,$0.00,$2.00,$92.00,$72.40,2,
502,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5123.0,5119.0,2026-02-16 10:04:00 AM,2026-02-16 10:04:15 AM,GS,StallExit,$37.60,$12086.80,$2.40,$0.00,$0.00,$0.00,$0.00,$2.00,$92.00,$54.40,2,
503,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5123.0,5119.5,2026-02-16 10:04:00 AM,2026-02-16 10:04:27 AM,GS,StallExit,$32.60,$12119.40,$2.40,$0.00,$0.00,$0.00,$0.00,$2.00,$92.00,$59.40,2,
504,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5123.0,5123.0,2026-02-16 10:04:00 AM,2026-02-16 10:08:00 AM,GS,Stop loss,-$2.40,$12117.00,$2.40,$0.00,$0.00,$0.00,$0.00,$2.00,$92.00,$94.40,5,
505,MGC 12-26,Backtest,GoldTrendScalperV40,Long,5,5144.9,5152.6,2026-02-18 10:03:00 AM,2026-02-18 10:05:00 AM,GL_B,FullTake,$373.00,$12490.00,$12.00,$0.00,$0.00,$0.00,$0.00,$200.00,$385.00,$12.00,3,
506,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5130.9,5127.9,2026-02-19 12:55:00 PM,2026-02-19 1:02:00 PM,GS,TP1,$27.60,$12517.60,$2.40,$0.00,$0.00,$0.00,$0.00,$20.00,$74.00,$46.40,8,
507,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5130.9,5129.7,2026-02-19 12:55:00 PM,2026-02-19 1:02:39 PM,GS,StallExit,$9.60,$12527.20,$2.40,$0.00,$0.00,$0.00,$0.00,$20.00,$74.00,$64.40,9,
508,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5130.9,5129.7,2026-02-19 12:55:00 PM,2026-02-19 1:07:06 PM,GS,StallExit,$9.60,$12536.80,$2.40,$0.00,$0.00,$0.00,$0.00,$20.00,$74.00,$64.40,14,
509,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5130.9,5127.6,2026-02-19 12:55:00 PM,2026-02-19 1:07:18 PM,GS,StallExit,$30.60,$12567.40,$2.40,$0.00,$0.00,$0.00,$0.00,$20.00,$74.00,$43.40,14,
510,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5130.9,5130.9,2026-02-19 12:55:00 PM,2026-02-19 1:14:00 PM,GS,Stop loss,-$2.40,$12565.00,$2.40,$0.00,$0.00,$0.00,$0.00,$20.00,$74.00,$76.40,20,
511,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,5278.4,5282.3,2026-02-24 11:35:00 AM,2026-02-24 11:36:00 AM,GS,Stop loss,-$207.00,$12358.00,$12.00,$0.00,$0.00,$0.00,$0.00,$195.00,$5.00,$212.00,2,
512,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,5189.5,5197.5,2026-03-05 11:32:00 AM,2026-03-05 11:32:00 AM,GS,Stop loss,-$412.00,$11946.00,$12.00,$0.00,$0.00,$0.00,$0.00,$400.00,$0.00,$412.00,1,
513,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5365.0,5368.7,2026-03-10 11:33:00 AM,2026-03-10 11:35:00 AM,GL_B,TP1,$34.60,$11980.60,$2.40,$0.00,$0.00,$0.00,$0.00,$31.00,$86.00,$51.40,3,
514,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5365.0,5367.9,2026-03-10 11:33:00 AM,2026-03-10 11:34:15 AM,GL_B,StallExit,$26.60,$12007.20,$2.40,$0.00,$0.00,$0.00,$0.00,$31.00,$86.00,$59.40,3,
515,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5365.0,5368.9,2026-03-10 11:33:00 AM,2026-03-10 11:34:27 AM,GL_B,StallExit,$36.60,$12043.80,$2.40,$0.00,$0.00,$0.00,$0.00,$31.00,$86.00,$49.40,3,
516,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5365.0,5369.7,2026-03-10 11:33:00 AM,2026-03-10 11:34:39 AM,GL_B,StallExit,$44.60,$12088.40,$2.40,$0.00,$0.00,$0.00,$0.00,$31.00,$86.00,$41.40,3,
517,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,5365.0,5372.0,2026-03-10 11:33:00 AM,2026-03-10 11:47:00 AM,GL_B,TP2,$67.60,$12156.00,$2.40,$0.00,$0.00,$0.00,$0.00,$31.00,$86.00,$18.40,15,
518,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,5275.8,5280.8,2026-03-12 10:35:00 AM,2026-03-12 10:36:00 AM,GS,Stop loss,-$262.00,$11894.00,$12.00,$0.00,$0.00,$0.00,$0.00,$250.00,$55.00,$317.00,2,
519,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5248.9,5246.4,2026-03-12 11:13:00 AM,2026-03-12 11:14:00 AM,GS,TP1,$22.60,$11916.60,$2.40,$0.00,$0.00,$0.00,$0.00,$73.00,$39.00,$16.40,2,
520,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5248.9,5246.4,2026-03-12 11:13:00 AM,2026-03-12 11:13:03 AM,GS,StallExit,$22.60,$11939.20,$2.40,$0.00,$0.00,$0.00,$0.00,$73.00,$39.00,$16.40,2,
